3D_003,24
"Filename","C:\MitakaPF_Data\V2_inject_20220817\V2_inject_S1.CSV"
"Measurment Method","3-D Cross SectionPrecise measurement"
"No. of Points in X direction",140
"No. of Points in Y direction",104
"Max. Value in X direction",103.20600
"Min. Value in X direction",75.60480
"Max. Value in Y direction",84.10440
"Min. Value in Y direction",63.50430
"Max. Value in Z direction",3.66162
"Min. Value in Z direction",1.60991
"Average in Z direction",2.36089
"Data Name","Index"
"Measuring Pitch","X : ",0.20000 ,"Y : ",0.20000
"Stage Pitch","X component: ",0.20000 ,"Y component: ",0.00000
"Measuring Range","X : ",13.80060 ,"Y : ",20.60010
"AF Gain",2
"AF Sensor","Select"
"Z Magnification",1.0
"Object Lens Magnification","LM100X"
"Laser Offset Value",""
"One/Both Side(s) Code","Both"

"X","Y","Z"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
99.20620,64.30430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,"Error"
79.60530,64.50430,2.93655
79.80580,64.50430,2.93827
80.00560,64.50430,2.93361
80.20570,64.50430,2.92751
80.40570,64.50430,2.92197
80.60550,64.50430,2.91647
80.80550,64.50430,2.91067
81.00530,64.50430,2.90429
81.20510,64.50430,2.89774
81.40570,64.50430,2.89100
81.60570,64.50430,2.88416
81.80570,64.50430,2.87725
82.00570,64.50430,2.87023
82.20570,64.50430,2.86318
82.40550,64.50430,2.85612
82.60540,64.50430,2.84911
82.80560,64.50430,2.84209
83.00540,64.50430,2.83517
83.20440,64.50430,2.82843
83.40570,64.50430,2.82153
83.60580,64.50430,2.81484
83.80570,64.50430,2.80832
84.00570,64.50430,2.80188
84.20570,64.50430,2.79559
84.40570,64.50430,2.78943
84.60570,64.50430,2.78342
84.80550,64.50430,2.77753
85.00550,64.50430,2.77182
85.20560,64.50430,2.76627
85.40560,64.50430,2.76087
85.60570,64.50430,2.75566
85.80570,64.50430,2.75063
86.00560,64.50430,2.74575
86.20580,64.50430,2.74105
86.40560,64.50430,2.73661
86.60560,64.50430,2.73232
86.80560,64.50430,2.72823
87.00550,64.50430,2.72435
87.20560,64.50430,2.72066
87.40570,64.50430,2.71720
87.60570,64.50430,2.71394
87.80410,64.50430,2.71092
88.00510,64.50430,2.70810
88.20500,64.50430,2.70553
88.40500,64.50430,2.70320
88.60490,64.50430,2.70104
88.80480,64.50430,2.69915
89.00490,64.50430,2.69746
89.20490,64.50430,2.69602
89.40520,64.50430,2.69479
89.40500,64.50430,2.69478
89.60600,64.50430,2.69378
89.80600,64.50430,2.69300
90.00590,64.50430,2.69246
90.20590,64.50430,2.69214
90.40590,64.50430,2.69204
90.60600,64.50430,2.69216
90.80580,64.50430,2.69250
91.00580,64.50430,2.69308
91.20600,64.50430,2.69390
91.40590,64.50430,2.69492
91.60590,64.50430,2.69612
91.80600,64.50430,2.69758
92.00590,64.50430,2.69919
92.20600,64.50430,2.70107
92.40580,64.50430,2.70311
92.60600,64.50430,2.70542
92.80610,64.50430,2.70787
93.00590,64.50430,2.71051
93.20590,64.50430,2.71337
93.40580,64.50430,2.71637
93.60610,64.50430,2.71963
93.80600,64.50430,2.72301
94.00610,64.50430,2.72654
94.20590,64.50430,2.73025
94.40610,64.50430,2.73409
